Company,Country/Region,Tech type,TRL (2025),First plant size (t CO₂/yr),Funding round,Round date (YYYY-MM),Amount (USD M),Lead investor(s),Total funding to date (USD M),Public grants / DOE award (USD M),Policy incentives targeted,Offtake buyers,Credit price disclosed? (Y/N),Projected cost ($/t CO₂),Storage partner / site,Source link,"Data quality (1–Low, 3=High)",amount_original,round_class,Notes / gaps,Disclosed credit price ($/t),45Q eligible (Y/N),LCFS eligible (Y/N)
Verdox,,,,,NSF SBIR Phase I Grant,2021-02-01,0.25001,,,0.25001,,,,,,...,3,"USD 250,010",,,,,
Verdox,,,,,ARPA-E OPEN Grant,2020-04-01,0.5,,,0.5,,,,,,...,3,"USD 500,000",,,,,
Verdox,,,,,Strategic Equity Investment (Hydro),2022-02-01,20.0,Norsk Hydro,,,,,,,,...,3,USD 20 M,,,,,
Spiritus,,,,,Frontier Prepurchase Offtake,2023-09-01,,,,,,,,,,...,3,undisclosed,,,,,
Spiritus,,,,,New Mexico Science & Technology Startup Grant,2024-11-01,0.05,,,0.05,,,,,,...,3,"USD 50,000",,,,,
Spiritus,,,,,New Mexico Advanced Energy Award,2025-05-01,0.925,,,0.925,,,,,,...,3,"USD 925,000",,,,,
Spiritus,,,,,New Mexico LEDA Grant,2025-07-01,0.5,,,0.5,,,,,,...,3,"USD 500,000",,,,,
Mission Zero Technologies,,,,,BEIS GGR Competition – Phase 1 grant,2021-05-01,0.34,,,0.34,,,,,,...,3,"£240,000",,,,,
Mission Zero Technologies,,,,,Stripe carbon‑removal purchase / R&D grant,2021-05-01,0.5,,,,,,,,,...,3,"USD 500,000",,,,,
Mission Zero Technologies,,,,,XPRIZE Carbon‑Removal Milestone Prize,2022-04-01,1.0,,,1.0,,,,,,...,3,USD 1 M,,,,,
Mission Zero Technologies,,,,,Seed,2022-05-01,5.0,Breakthrough Energy Ventures;Anglo American,,,,,,,,...,3,USD 5 M,,,,,
Mission Zero Technologies,,,,,BEIS GGR Competition – Phase 2 grant,2022-07-01,3.6,,,3.6,,,,,,...,3,£3 M,,,,,
Mission Zero Technologies,,,,,Series A,2024-03-01,27.9,2150;Breakthrough Energy Ventures;World Fund;Fortescue;Siemens Financial Services,,,,,,,,...,3,£21.8 M,,,,,
Sustaera,,,,,XPRIZE Carbon Removal Milestone Prize,2022-04-01,1.0,,,1.0,,,,,,...,3,USD 1 M,,,,,
Sustaera,,,,,DOE Grant – Bench-scale DAC R&D,2021-10-01,1.5,,,1.5,,,,,,...,3,USD 1.5 M,,,,,
Sustaera,,,,,DOE DAC Hub grant (Ankeron Hub),2023-08-01,2.999754,,,2.999754,DAC Hub,,,,,...,3,"USD 2,999,754",,,,,
CarbonCapture Inc.,,,,,Series A (extension),2024-03-01,80.0,Prime Movers Lab;Amazon Climate Pledge Fund;Aramco Ventures;Siemens Financial Services,,,,,,,,...,3,USD 80 M,,,,,
CarbonCapture Inc.,,,,,DOE CDR Purchase Pilot Prize (Phase 1),2024-05-01,,,,,DOE CDR Purchase Pilot Prize,,,,,...,3,undisclosed,,,,,
